Job Title,Salary Estimate,Job Description,Company Name
NLP Data Scientist,$73K - $145K (Glassdoor est.),"About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.","Nativo
4.0"
Data Scientist (Remote),$75K - $176K (Glassdoor est.),"NEW DIGITAL BANK MISSION STATEMENT:
Join us on our mission to create a completely new, 100% digital bank that truly serves customers’ best interests. We are a close-knit and fun-loving team of seasoned financial services professionals who came together for the challenge of building a bank from scratch – and we are committed to doing it all the right way (from technology infrastructure to modern marketing to customer experience).
We work with the flexibility and speed of a start-up. But we also have significant stability and capital from being part of the SMBC Group (Sumitomo Mitsui Banking Corporation). SMBC is the 2nd largest bank in Japan and the 12th largest bank in the world with operations in over 40 countries. And SMBC is committed to disrupting the US marketplace with ground-breaking products.","Manufacturers Bank
3.6"
Senior Data Scientist,$98K - $200K (Glassdoor est.),"About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:","Shift
3.7"
Sr. Data Scientist,Employer Provided Salary:$85 Per Hour,"Responsibilities:
Ability to demonstrate algorithm development and predictive modeling to solve problems.
Domain knowledge of manufacturing processes or work experience in manufacturing support roles such as Engineering and Operations.
Must have experience with AWS.
Must have SCRUM Certification.
Ability to perform as a technical lead providing technical coaching and mentoring to others.
Proven consulting skills and experience, influence effectively, ability to resolve impediments in a timely manner.",Spotline Inc
Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.",BlueSky Technology Solutions
Data Scientist,$82K - $169K (Glassdoor est.),"Do you want to change the world? We do, too.

Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.", 
Senior Data Scientist,Employer Provided Salary:$120K - $165K,"Rocket Travel is looking for a Senior Data Scientist with experience in Python and SQL to join our growing Data Science Team. Remote employment is an option for this role
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.
Own decisions and take action that can be implemented in a matter of days (or hours).","Rocket Travel, Inc.
4.5"
Data Scientist,$85K - $142K (Glassdoor est.),"Rue Gilt Groupe (RGG) is seeking an exceptional candidate to add to the Data Science team! Are you ready to scale and revolutionize the technology that better serves the 35+ million loyal Members who interact with Ruelala.com and Gilt.com every day by leveraging cutting edge techniques such as predictive modelling, machine learning, and AI.
With a cutting-edge toolkit, RGG's Data Science team is leading to build innovative solutions that power our online retail business. Come help us build the next generation of our products!
What you'll do:
You will empower your team with the tools to do their best work, invest in your talent to build bench strength as you scale, and drive measurable value to the business, jumping in and contributing to the work as needed.","RUE GILT GROUPE
3.1"
Data Scientist,Employer Provided Salary:$40 - $60 Per Hour,"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals
Bonus Points","WorkCog
4.2"
Sr Data Scientist,Employer Provided Salary:$100K - $135K,"Title: :Sr Data Scientist@ Atlanta, GA
Terms of Hire: Full Time.
Salary: $ 100,000–$135,000/ YR + Benefits.

Job description::
Job Specific Experience Required/Preferred for the Role:
Master’s degree or higher in mathematics or economics. At least five years employment experience past that masters in a data science or other analytics field.
Prior experience deploying models in production. Preferably skill sets in Kubeflow or another distributed ecosystem deployment system for machine learning.
Prior experience working for one of the following:
What Part Will You Play?
What Are We Looking for in This Role?
Minimum Qualifications
What Are Our Desired Skills and Capabilities?
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",CEDENT
